tweet_id_customer,text_customer,created_at_customer,tweet_id_brand,in_response_to_tweet_id,text_brand,created_at_brand
2342643,@Uber_Support I left my work phone in my Uber and the driver has not set up his voicemail. Is there a way to text him ASAP?,Mon Nov 13 14:53:37 +0000 2017,2342642,2342643.0,@378055 Here to help! Get in contact with your driver here; https://t.co/rOtqyWzf0B.,Mon Nov 13 15:10:02 +0000 2017
698849,@115873 left my phone in 1 of u cars &amp; i can see on find my iphone exactly where it is but you dont have a fucking contact number what do i do,Fri Oct 13 02:54:55 +0000 2017,698847,698849.0,@286690 Here to help! Get in contact with your driver here: https://t.co/rOtqyWzf0B,Fri Oct 13 02:56:55 +0000 2017
2421535,@115877 not fair! Want my doughnuts 😳😣 https://t.co/T7o80Y56IX,Tue Nov 14 14:33:27 +0000 2017,2421533,2421535.0,"@695563 Demand is very high today, but we'll try our best to get a some doughnuts your way soon.",Tue Nov 14 17:14:56 +0000 2017
2186110,The most impressive part about @115873 is how their drivers literally cannot follow simple directions. Unreal.,Thu Nov 09 16:15:48 +0000 2017,2186109,2186110.0,"@593489 We're here to help! Send us a note here, https://t.co/fS660rQ8NQ and our team will be in touch.",Thu Nov 09 16:17:32 +0000 2017
379033,"@Uber_Support no reason why ppl say, uber sucks in service, though being cheaper than @151419 @1143",Mon Oct 09 05:56:22 +0000 2017,379031,379033.0,@205946 We've followed up via DM!,Mon Oct 09 06:10:08 +0000 2017
2584473,"@Uber_Support hi, i am going to New York from sf and want to drive in there, how can I see rental services and plans through uber platform, and add on my account to drive, can you help me out with this, thank you",Thu Nov 16 23:43:40 +0000 2017,2584472,2584473.0,@293525 Here to help. Send us a note at https://t.co/FF2YGTGjuA so our team can connect.,Thu Nov 16 23:49:56 +0000 2017
2957756,@Uber_Support someone just tried to hack my Uber account and you assholes have no service number to call. Shame on you. Hope you go out of business,Wed Nov 29 19:54:22 +0000 2017,2957755,2957756.0,@291332 Here to help! Send us a note here; https://t.co/kGIXas5Cxg and our team will be able to assist.,Wed Nov 29 19:57:56 +0000 2017
666306,@Uber_Support why was i charged $1 to add a new card to my account?,Thu Nov 23 02:45:27 +0000 2017,666305,666306.0,@278742 Here to help. Send us a note at https://t.co/dInR3racif so our team can connect.,Thu Nov 23 02:47:06 +0000 2017
554106,"@Uber_Support  I took a trip from SARITA VIHAR METRO STATION for SAGARPUR at 11:30 PM. After the trip, I forgot to collect my Samsung Galaxy tab A 8.0 in the WAGON R car which was inserted in the Driver's charging port. I am consistently calling the driver but he is not picking.",Sat Dec 02 20:09:00 +0000 2017,554105,554106.0,@249284 Hi there! Please send us a note at https://t.co/oY5vj3NqP3 and we'll be happy to look into this for you.,Sat Dec 02 20:13:59 +0000 2017
2372456,"Yo, straight up, @115873 can suck an egg. Worst company when trying to solve any issues. Their emails seem automated, you get a different “member” replying to each one, and it’s the ONLY company in America that doesn’t have a single number to call w issues. #overit #hilyft",Tue Nov 14 00:55:08 +0000 2017,2372454,2372456.0,@661386 We're here to help! Send us a DM with your email address so we can connect.,Tue Nov 14 01:08:00 +0000 2017
347821,My uber just hit someone,Sun Oct 08 05:38:47 +0000 2017,347820,347821.0,@198830 We want to follow up ASAP. Can you please send us a DM with your email address and additional details so we can connect?,Sun Oct 08 05:46:47 +0000 2017
2584452,@115873 wtf is this??My Uber was stuck like this for about 15 minutes no movement or anything so I cancel and close the app to see if it’ll help and you give me the same exact driver gets stuck again I cancel again GIVES ME THE SAME DRIVER AGAIN AND CHARGED ME FOR CANCELLING TWICE https://t.co/BwE3QMYJSw,Thu Nov 16 23:54:45 +0000 2017,2584451,2584452.0,@732368 We're sorry to hear this was your experience. Contact us via https://t.co/e8HVoseGiP and we'll be in touch.,Thu Nov 16 23:56:29 +0000 2017
604419,"@115873 is so fraud to their loyal customers. They get like 20% of my yearly income cause I’m an Uber queen, but they don’t send me any promos, meanwhile my friend just got 50% off 10 rides applied to her account this week for absolutely no reason. Please explain @Uber_Support",Wed Nov 15 22:37:15 +0000 2017,604420,604419.0,@263685 We've been in touch via DM!,Wed Nov 15 23:16:34 +0000 2017
2167343,"@Uber_Support 
I left my phone in an uber taxi this morning. I cannot contact the driver as his number is on my phone. What do I do?",Thu Nov 09 08:42:18 +0000 2017,2167342,2167343.0,"@636001 We're happy to connect further, Corinna. Please DM us the email address linked to your account.",Thu Nov 09 08:44:49 +0000 2017
611421,"shoutout to @115873 for implementing a new rating system that really benefits us drivers 👌🏻
literally yesterday i gave feedback on my app that i’d like clearer reasons for low ratings. i’ve got ONE one star trip and i have zero idea why 😭",Wed Nov 22 12:57:25 +0000 2017,611420,611421.0,@265377 We're here to help! Send us a DM with your email address so we can connect.,Wed Nov 22 13:01:24 +0000 2017
2512901,Drivers have been cancelling my trips over the past two days and you are charging me cancellation fees @115873. Get a helpline !,Mon Oct 30 06:32:45 +0000 2017,2512898,2512901.0,@716162 Here to help. Send us a note at https://t.co/h840Iouehc so our team can connect.,Mon Oct 30 06:39:01 +0000 2017
175023,@Uber_Support Your issue submission form requires a photo even though it says it isn't necessary. I have supplied a suitable image. https://t.co/kuIIdBAp8e,Sat Nov 25 00:07:33 +0000 2017,175025,175023.0,@157070 We can definitely take a look! Send us a DM with your email address and details so we can follow up.,Sat Nov 25 00:11:37 +0000 2017
